source,target,anchor_texts,target_dead
https://policylibrary.gatech.edu/information-technology/acceptable-use-policy,https://policylibrary.gatech.edu/information-technology/data-resources,Data Access Policy,False
https://policylibrary.gatech.edu/information-technology/acceptable-use-policy,https://secure.ethicspoint.com/domain/en/report_custom.asp?clientid=7508,https://secure.ethicspoint.com/domain/en/report_custom.asp?clientid=7508,True
https://policylibrary.gatech.edu/information-technology/acceptable-use-policy,https://www.policylibrary.gatech.edu/information-technology/cyber-security-policy,Cyber Security Policy,False
https://policylibrary.gatech.edu/information-technology/acceptable-use-policy,https://www.policylibrary.gatech.edu/information-technology/data-privacy-policy,Data Privacy Policy,False
https://policylibrary.gatech.edu/information-technology/acceptable-use-policy,https://www.policylibrary.gatech.edu/information-technology/policy-exceptions,Policy Exceptions,False
https://policylibrary.gatech.edu/information-technology/acceptable-use-policy,https://www.policylibrary.gatech.edu/information-technology/responsible-disclosure-policy,Responsible Disclosure Policy,False
https://policylibrary.gatech.edu/information-technology/cyber-security-policy,https://gatech.service-now.com/technology?id=sc_category&sys_id=8ed06af7dbcf8c10fc9efe8d0f96195d,Protected Data Practices,False
https://policylibrary.gatech.edu/information-technology/cyber-security-policy,https://policylibrary.gatech.edu/information-technology/data-resources,Data Access Policy,False
https://policylibrary.gatech.edu/information-technology/cyber-security-policy,https://policylibrary.gatech.edu/information-technology/responsible-disclosure-policy,Responsible Disclosure Policy,False
https://policylibrary.gatech.edu/information-technology/cyber-security-policy,https://secure.ethicspoint.com/domain/en/report_custom.asp?clientid=7508,https://secure.ethicspoint.com/domain/en/report_custom.asp?clientid=7508,True
https://policylibrary.gatech.edu/information-technology/cyber-security-policy,https://security.gatech.edu/information-security-procedures-standards-and-forms/,Security Procedures and Standards,False
https://policylibrary.gatech.edu/information-technology/cyber-security-policy,https://security.gatech.edu/report-incident/,https://security.gatech.edu/report-incident,False
https://policylibrary.gatech.edu/information-technology/cyber-security-policy,https://security.gatech.edu/system-administration-responsibilities/,System Administration Responsibilities,False
https://policylibrary.gatech.edu/information-technology/cyber-security-policy,https://www.policylibrary.gatech.edu/information-technology/password-policy,Password Policy,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://bpb-us-e1.wpmucdn.com/sites.gatech.edu/dist/9/2137/files/2023/05/data-protection-safeguards-rev2.0-20140314.pdf,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://edm.gatech.edu/data-governance/access-procedures,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://edm.gatech.edu/data-governance/audience,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://edm.gatech.edu/data-governance/audit,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://edm.gatech.edu/data-governance/data-domains,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://edm.gatech.edu/data-governance/data-element-dictionary,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://edm.gatech.edu/data-governance/data-gov-structure,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://edm.gatech.edu/data-governance/data-management-cat,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://edm.gatech.edu/data-governance/data-protection-cat,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://edm.gatech.edu/data-governance/data-regulation-cat,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://edm.gatech.edu/data-governance/dgm-policy,website,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://edm.gatech.edu/data-governance/monitor,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://edm.gatech.edu/data-governance/regulatory-compliance,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://edm.gatech.edu/data-governance/separation-of-duties,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://edm.gatech.edu/data-governance/systems-inventory,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://edm.gatech.edu/data-governance/training,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://gatech.service-now.com/technology?id=sc_category&sys_id=8ed06af7dbcf8c10fc9efe8d0f96195d,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://policylibrary.gatech.edu/information-technology/cyber-security-policy,Georgia Tech Cyber Security Policy,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://secure.ethicspoint.com/domain/en/report_custom.asp?clientid=7508,https://secure.ethicspoint.com/domain/en/report_custom.asp?clientid=7508,True
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://usg.policystat.com/search/?reference=148975&sort=name,Data Governance and Management | USG Business Procedures Manual Section 12.0: Data Governance and Management,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://www.usg.edu/records_management,Learn more,False
https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,https://www.usg.edu/records_management/schedules,USG Records Retention Schedule,False
https://policylibrary.gatech.edu/information-technology/data-privacy-policy,https://policylibrary.gatech.edu/information-technology/data-resources,Data Access Policy,False
https://policylibrary.gatech.edu/information-technology/data-privacy-policy,https://security.gatech.edu/information-security-procedures-standards-and-forms/,Security Standards and Procedures,False
https://policylibrary.gatech.edu/information-technology/data-privacy-policy,https://www.policylibrary.gatech.edu/information-technology/acceptable-use-policy,Acceptable Use,False
https://policylibrary.gatech.edu/information-technology/data-privacy-policy,https://www.policylibrary.gatech.edu/information-technology/cyber-security-policy,Cyber Security,False
https://policylibrary.gatech.edu/information-technology/data-privacy-policy,https://www.policylibrary.gatech.edu/information-technology/policy-exceptions,Policy Exceptions Policy,False
https://policylibrary.gatech.edu/information-technology/data-resources,https://gatech.service-now.com/technology?id=sc_category&sys_id=8ed06af7dbcf8c10fc9efe8d0f96195d,Protected Data Practices,False
https://policylibrary.gatech.edu/information-technology/data-resources,https://policylibrary.gatech.edu/information-technology/cyber-security-policy,Cyber Security Policy,False
https://policylibrary.gatech.edu/information-technology/data-resources,https://policylibrary.gatech.edu/information-technology/data-governance-and-management-policy,Data Governance and Management Policy,False
